ID,brand,c__productCategory,manufacturerSKU,c__baseSku,c__series,c__installationManual,installationManualFileName(.pdf)
empire-rushmore-36-direct-vent-gas-fireplace-dvct36cbp,Empire,Gas Fireplaces,DVCT36CBP95N,DVCT36,Rushmore,pdf/dvct36cbp95n.pdf,dvct36cbp95n
empire-rushmore-40-clean-face-See-Thru-direct-vent-gas-fireplace-dvct40csp,Empire,Gas Fireplaces,DVCT40CSP95N,DVCT40,,pdf/dvct40csp95n.pdf,dvct40csp95n
empire-rushmore-40-clean-face-see-through-direct-vent-gas-fireplace-dvct40csp,Empire,Gas Fireplaces,DVCT40CSP95N,DVCT40,Rushmore,pdf/dvct40csp95n.pdf,dvct40csp95n
empire-rushmore-40-direct-vent-gas-fireplace-dvct40cbp,Empire,Gas Fireplaces,DVCT40CBP95N,DVCT40,Rushmore,pdf/dvct40cbp95n.pdf,dvct40cbp95n
empire-rushmore-50-clean-face-direct-vent-gas-fireplace-dvct50cbp,Empire,Gas Fireplaces,DVCT50CBP95N,DVCT50,Rushmore,pdf/dvct50cbp95n.pdf,dvct50cbp95n
empire-tahoe-deluxe-32-clean-face-direct-vent-gas-fireplace-dvcd32fp,Empire,Gas Fireplaces,DVCD32FP30N,DVCD32,Tahoe,pdf/dvcd32fp30n.pdf,dvcd32fp30n
empire-tahoe-deluxe-32-direct-vent-gas-fireplace-dvd32fp,Empire,Gas Fireplaces,DVD32FP30N,DVD32,Tahoe,pdf/dvd32fp30n.pdf,dvd32fp30n
empire-tahoe-deluxe-36-clean-face-direct-vent-gas-fireplace-dvcd36fp,Empire,Gas Fireplaces,DVCD36FP30N,DVCD36,Tahoe,pdf/dvcd36fp30n.pdf,dvcd36fp30n
empire-tahoe-deluxe-36-direct-vent-gas-fireplace-dvd36fp,Empire,Gas Fireplaces,DVD36FP30N,DVD36,Tahoe,pdf/dvd36fp30n.pdf,dvd36fp30n
empire-tahoe-deluxe-42-clean-face-direct-vent-gas-fireplace-dvcd42fp,Empire,Gas Fireplaces,DVCD42FP30N,DVCD42,Tahoe,pdf/dvcd42fp30n.pdf,dvcd42fp30n
empire-tahoe-deluxe-42-direct-vent-gas-fireplace-dvd42fp,Empire,Gas Fireplaces,DVD42FP30N,DVD42,Tahoe,pdf/dvd42fp30n.pdf,dvd42fp30n
empire-tahoe-deluxe-48-direct-vent-gas-fireplace-dvd48fp,Empire,Gas Fireplaces,DVD48FP30N,DVD48,Tahoe,pdf/dvd48fp30n.pdf,dvd48fp30n
empire-tahoe-luxury-36-clean-face-direct-vent-gas-fireplace-dvcx36fp,Empire,Gas Fireplaces,DVCX36FP30N,DVCX36,Tahoe,pdf/dvcx36fp30n.pdf,dvcx36fp30n
empire-tahoe-luxury-36-direct-vent-gas-fireplace-dvx36fp,Empire,Gas Fireplaces,DVX36FP31LN,DVX36,Tahoe,pdf/dvx36fp31ln.pdf,dvx36fp31ln
empire-tahoe-luxury-42-clean-face-direct-vent-gas-fireplace-dvcx42fp,Empire,Gas Fireplaces,DVCX42FP30N,DVCX42,Tahoe,pdf/dvcx42fp30n.pdf,dvcx42fp30n
empire-tahoe-luxury-42-direct-vent-gas-fireplace-dvx42fp,Empire,Gas Fireplaces,DVX42FP31LN,DVX42,Tahoe,pdf/dvx42fp31ln.pdf,dvx42fp31ln
empire-tahoe-premium-32-clean-face-contemporary-direct-vent-gas-fireplace-dvcc32bp,Empire,Gas Fireplaces,DVCC32BP32N,DVCC32,Tahoe,pdf/dvcc32bp32n.pdf,dvcc32bp32n
empire-tahoe-premium-32-clean-face-direct-vent-gas-fireplace-dvcp32bp,Empire,Gas Fireplaces,DVCP32BP30N,DVCP32,Tahoe,pdf/dvcp32bp30n.pdf,dvcp32bp30n
empire-tahoe-premium-36-clean-face-contemporary-direct-vent-gas-fireplace-dvcc36bp,Empire,Gas Fireplaces,DVCC36BP32N,DVCC36,Tahoe,pdf/dvcc36bp32n.pdf,dvcc36bp32n
empire-tahoe-premium-36-clean-face-direct-vent-gas-fireplace-dvcp36bp,Empire,Gas Fireplaces,DVCP36BP30N,DVCP36,Tahoe,pdf/dvcp36bp30n.pdf,dvcp36bp30n
empire-tahoe-premium-36-direct-vent-gas-fireplace-dvp36fp,Empire,Gas Fireplaces,DVP36FP30N,DVP36,Tahoe,pdf/dvp36fp30n.pdf,dvp36fp30n
empire-tahoe-premium-36-multi-sided-clean-face-direct-vent-gas-fireplace-dvcp36,Empire,Gas Fireplaces,DVCP36PP30N,DVCP36,Tahoe,pdf/dvcp36pp30n.pdf,dvcp36pp30n
empire-tahoe-premium-36-multi-sided-direct-vent-gas-fireplace-dvp36,Empire,Gas Fireplaces,DVP36PP32EN,DVP36,Tahoe,pdf/dvp36pp32en.pdf,dvp36pp32en
empire-tahoe-premium-42-clean-face-contemporary-direct-vent-gas-fireplace-dvcc42bp,Empire,Gas Fireplaces,DVCC42BP32N,DVCC42,Tahoe,pdf/dvcc42bp32n.pdf,dvcc42bp32n
