ID,brand,c__productCategory,manufacturerSKU,c__baseSku,c__series,c__installationManual,installationManualFileName(.pdf),matched_manual
empire-carol-rose-coastal-premium-36-vent-free-outdoor-gas-fireplace-op36fp,Empire,Outdoor Gas Fireplaces,OP36FP32MN,OP36,Carol Rose,pdf/op36fp32mn.pdf,op36fp32mn,Empire/DVP36FP3579.pdf
empire-forest-hills-27-portrait-style-traditional-direct-vent-gas-fireplace-dvtl27,Empire,Gas Fireplaces,DVTL27FP90N,DVTL27,Forest Hills,pdf/dvtl27fp90n.pdf,dvtl27fp90n,Empire/DVTL27FP-Forest-Hills-Portrait-Traditional-Fireplace.pdf
empire-keystone-premium-42-b-vent-gas-fireplace-bvp42fp,Empire,Gas Fireplaces,BVP42FP30FN,BVP42,Keystone,pdf/bvp42fp30fn.pdf,bvp42fp30fn,Empire/DVP4248FP3579.pdf
empire-vail-premium-32-vent-free-fireplace-vfp32bp,Empire,Gas Fireplaces,VFP32BP20LN,VFP32,Vail,pdf/vfp32bp20ln.pdf,vfp32bp20ln,Empire/VFP32BP-Vail-Premium-1.pdf
majestic-biltmore-42-radiant-wood-burning-fireplace-sb80,Majestic,Wood Fireplaces,SB80,,Biltmore,pdf/sb80.pdf,sb80,"Majestic/SB60,80 HB - BILTMORE - INSTALLATION.pdf"
majestic-designer-see-thru-36-radiant-wood-burning-fireplace-dsr36,Majestic,Wood Fireplaces,DSR36,,Designer,pdf/dsr36.pdf,dsr36,Majestic/DSR36 - INSTALLATION.pdf
dimplex-opti-v-solo-electric-fireplace-vf2927l,Dimplex,Electric Fireplaces,VF2927L,,Opti-V,pdf/vf2927l.pdf,vf2927l,Dimplex/7213460100R05_EN.pdf
empire-boulevard-60-direct-vent-linear-gas-fireplace-dvll60bp90,Empire,Gas Fireplaces,DVLL60BP90N,DVLL60,Boulevard,pdf/dvll60bp90n.pdf,dvll60bp90n,"Empire/DVLL48,60BP Owners Manual.pdf"
empire-tahoe-deluxe-36-clean-face-direct-vent-gas-fireplace-dvcd36fp,Empire,Gas Fireplaces,DVCD36FP30N,DVCD36,Tahoe,pdf/dvcd36fp30n.pdf,dvcd36fp30n,Empire/DVCD323642FP3701NP-4-Homeowners.pdf
empire-carol-rose-coastal-linear-48-see-through-vent-free-outdoor-gas-fireplace-oll48sp,Empire,Outdoor Gas Fireplaces,OLL48SP12SN,OLL48,Carol Rose,pdf/oll48sp12sn.pdf,oll48sp12sn,"Empire/DVLL48,60BP Owners Manual.pdf"
majestic-twighlight-ii-indoor-outdoor-see-thru-gas-fireplace-twighlight-ii-c,Majestic,Gas Fireplaces,TWILIGHT-II-C,TWILIGHT,Twilight II,pdf/twilight-ii-c.pdf,twilight-ii-c,Majestic/WarmMajic-II - Installation Manual - Woodburning Fireplace.pdf
majestic-meridian-platinum-36-direct-vent-gas-fireplace-meridpla36,Majestic,Gas Fireplaces,MERIDPLA36IN,MERIDPLA36,Meridian Platinum,pdf/meridpla36in.pdf,meridpla36in,"Majestic/MERIDPLA36,42 - MERIDIAN PLATINUM.pdf"
majestic-royalton-42-radiant-wood-burning-fireplace-be42,Majestic,Wood Fireplaces,BE42,,Royalton,pdf/be42.pdf,be42,"Majestic/BE36,42 - ROYALTON - INSTALLATION.pdf"
empire-tahoe-luxury-42-direct-vent-gas-fireplace-dvx42fp,Empire,Gas Fireplaces,DVX42FP31LN,DVX42,Tahoe,pdf/dvx42fp31ln.pdf,dvx42fp31ln,Empire/DVX3642FP3579 (2).pdf
dimplex-30-revillusion-built-in-electric-firebox-rbf30wc,Dimplex,Electric Fireplaces,RBF30WC,,Revillusion,pdf/rbf30wc.pdf,rbf30wc,Dimplex/Revillusion_Dimplex.pdf
majestic-echelon-72-driftwood-log-set-logs-drtwood-72,Majestic,Media Kits,LOGS-DRTWOOD-72,,Echelon,pdf/logs-drtwood-72.pdf,logs-drtwood-72,"Majestic/CFL-18-C,24-C, 30-C_owners-manual.pdf"
